代码,名称,日期,收盘,AI建议,理由,操作(开盘买),成交价(开盘买),持仓股数(开盘买),当日盈亏(开盘买),总资产(开盘买),操作(尾盘买),成交价(尾盘买),持仓股数(尾盘买),当日盈亏(尾盘买),总资产(尾盘买)
601698,中国卫通,2025-09-24,20.77,持有,股价小幅上涨，趋势初显，可继续观察。,无,,0,0.0,1000000.0,无,,0,0.0,1000000.0
601698,中国卫通,2025-09-25,20.94,持有,延续升势，量价配合尚可，维持持仓。,无,,0,0.0,1000000.0,无,,0,0.0,1000000.0
601698,中国卫通,2025-09-26,20.53,持有,缩量回调，未破关键支撑，可继续观察。,无,,0,0.0,1000000.0,无,,0,0.0,1000000.0
601698,中国卫通,2025-09-29,20.88,买入,放量上涨收复前日跌幅，短期趋势转强。,无,,0,0.0,1000000.0,买入,20.88,47800,0.0,1000000.0
601698,中国卫通,2025-09-30,21.31,持有,放量突破近期高点，多头动能强劲，持仓待涨。,执行买入,20.91,47800,19120.0,1019120.0,无,,47800,20554.0,1020554.0
601698,中国卫通,2025-10-09,21.72,持有,放量上涨，趋势初现，可继续观察。,无,,47800,19598.0,1038718.0,无,,47800,19598.0,1040152.0
601698,中国卫通,2025-10-10,21.2,持有,缩量回调，未破关键支撑，趋势未改。,无,,47800,-24856.0,1013862.0,无,,47800,-24856.0,1015296.0
601698,中国卫通,2025-10-13,21.51,持有,价格回升收复部分跌幅，成交量温和，维持震荡。,无,,47800,14818.0,1028680.0,无,,47800,14818.0,1030114.0
601698,中国卫通,2025-10-14,21.63,持有,小幅上涨，量能平稳，延续震荡格局。,无,,47800,5736.0,1034416.0,无,,47800,5736.0,1035850.0
601698,中国卫通,2025-10-15,21.71,持有,价格接近前高但量能不足，突破乏力，建议继续观望。,无,,47800,3824.0,1038240.0,无,,47800,3824.0,1039674.0
601698,中国卫通,2025-10-16,21.1,空仓,股价下跌，趋势未明，建议观望。,无,,47800,-29158.0,1009082.0,卖出,21.1,0,-29158.0,1010516.0
601698,中国卫通,2025-10-17,20.63,空仓,连续下跌，未见企稳信号，保持。,执行卖出,21.08,0,-956.0,1008126.0,无,,0,0.0,1010516.0
601698,中国卫通,2025-10-20,20.97,持有,股价反弹，但量能未知，已有仓位可观察。,无,,0,0.0,1008126.0,无,,0,0.0,1010516.0
601698,中国卫通,2025-10-21,21.0,持有,价格微涨，波动收窄，等待方向选择。,无,,0,0.0,1008126.0,无,,0,0.0,1010516.0
601698,中国卫通,2025-10-22,20.74,卖出,反弹后再次下跌，短线走弱，考虑离场。,无,,0,0.0,1008126.0,无,,0,0.0,1010516.0
601698,中国卫通,2025-10-23,20.43,空仓,股价下跌，趋势不明，等待企稳。,无,,0,0.0,1008126.0,无,,0,0.0,1010516.0
