date,股票代码,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,turnover,stock_name
2020-01-02,000021,11.58,12.06,12.35,11.41,822239,1043003072.0,8.27,6.16,0.7,5.6,45091514061.420006
2020-01-03,000021,12.18,13.35,13.35,11.99,1391530,1870414416.0,11.28,10.7,1.29,9.47,45091514061.420006
2020-01-06,000021,13.47,14.02,14.63,12.77,1494689,2165163296.0,13.93,5.02,0.67,10.17,45091514061.420006
2020-01-07,000021,14.01,13.82,14.56,13.73,1047650,1559122112.0,5.92,-1.43,-0.2,7.13,45091514061.420006
2020-01-08,000021,13.84,13.36,14.13,13.33,939666,1364732016.0,5.79,-3.33,-0.46,6.4,45091514061.420006
2020-01-09,000021,13.6,13.56,13.78,13.13,721805,1032696128.0,4.87,1.5,0.2,4.91,45091514061.420006
2020-01-10,000021,13.56,13.63,13.88,13.28,688415,993761696.0,4.42,0.52,0.07,4.69,45091514061.420006
2020-01-13,000021,13.5,13.83,13.92,13.2,659569,955464784.0,5.28,1.47,0.2,4.49,45091514061.420006
2020-01-14,000021,13.9,14.18,14.66,13.85,1003900,1511950352.0,5.86,2.53,0.35,6.83,45091514061.420006
2020-01-15,000021,14.11,13.8,14.26,13.46,712122,1039938576.0,5.64,-2.68,-0.38,4.85,45091514061.420006
2020-01-16,000021,13.78,13.83,14.08,13.63,500787,733992736.0,3.26,0.22,0.03,3.41,45091514061.420006
2020-01-17,000021,13.86,13.38,13.95,13.38,449452,648580864.0,4.12,-3.25,-0.45,3.06,45091514061.420006
2020-01-20,000021,13.52,13.57,13.74,12.95,542251,774336208.0,5.9,1.42,0.19,3.69,45091514061.420006
2020-01-21,000021,13.58,13.34,13.82,13.18,440363,628270720.0,4.72,-1.69,-0.23,3.0,45091514061.420006
2020-01-22,000021,13.22,14.3,14.53,13.11,954418,1409968064.0,10.64,7.2,0.96,6.5,45091514061.420006
2020-01-23,000021,14.07,14.09,15.07,13.63,1025551,1557380416.0,10.07,-1.47,-0.21,6.98,45091514061.420006
2020-02-03,000021,12.6,12.6,12.6,12.6,32418,43504956.0,0.0,-10.57,-1.49,0.22,45091514061.420006
2020-02-04,000021,11.26,12.08,12.38,11.26,1000595,1275668656.0,8.89,-4.13,-0.52,6.81,45091514061.420006
2020-02-05,000021,12.09,12.06,12.91,11.94,844263,1113155312.0,8.03,-0.17,-0.02,5.75,45091514061.420006
